Date;BTC amount;Channel;Donor;USD amount
2017-07-30 03:19:42;0.00695891;Baked Alaska;[PubkeyHashAddress(18TPWusWCZqETmX2SYbH2pJaeMUAPXTeRa)];19.111437552333
2017-07-31 03:36:28;0.0001586;Baked Alaska;[PubkeyHashAddress(1CebhdaqepuqniyNhuaLq2ipQbsm2XMMW8)];0.4557898345
2017-12-30 12:32:51;0.0725713;Baked Alaska;[ScriptHashAddress(3BpgG2V4cnxFinabVknPceua2Y5tBQjKDT)];916.5620062239401
2018-06-01 00:38:03;0.05;James Allsup;[PubkeyHashAddress(1G5yXNaFVG5AhwTthrABdBHNZBJzzB7ao5)];375.91225000000003
2017-09-18 06:31:16;0.01329865;James Allsup;[PubkeyHashAddress(1Dk7S7v3hDBVcS93LPPKWpCSGbL63Ewwn), PubkeyHashAddress(1Ej4Jm8J83tKG4wUAbikNF3rQoGckH4Emp), PubkeyHashAddress(1Dk7S7v3hDBVcS93LPPKWpCSGbL63Ewwn)];54.086640195375
2017-10-04 04:12:35;0.01228925;James Allsup;[PubkeyHashAddress(1PXHiFH8QV2c9E5CrpZNkUkuhJnRoTaEtE)];51.933434059149995
2017-10-06 08:42:42;0.004548;James Allsup;[PubkeyHashAddress(1DkJxbBLuWdmNsvyWi4QcEMoa3TqVpzpKM)];19.87587426
2017-10-07 02:15:18;9e-06;James Allsup;[PubkeyHashAddress(1FnVXX84ApVtyuuNfNJFN4bmyx1jkjp5dA)];0.039933304200000005
2017-11-18 22:05:44;0.011;James Allsup;[PubkeyHashAddress(1pDS5K5FABx29d2okP59LAkNU8QZbJqbR)];85.54633999999999
2017-12-23 06:50:03;0.0017;James Allsup;[ScriptHashAddress(3CK4ad4a4gsGPjoGxpvRhMfHUmtBU2LvCA)];24.732806999999998
2018-01-11 07:21:49;1.0;James Allsup;[PubkeyHashAddress(17gjrSisteft5FHYKGDAN5cYH1jUhBJLVj)];13287.26
2018-03-16 18:48:03;0.00586899;James Allsup;[PubkeyHashAddress(1HFg87YRUyvKnRUd7oCD3ZzSTPUay7Uqph)];48.532600404225
2018-05-21 00:02:38;0.02;JFG Livestreams;[ScriptHashAddress(3MMrzVdDMAJpG3MCXaLzTSbyUsNiWoHv1F), ScriptHashAddress(3GeVmuvaQMf3Uiy6PmDa7hFMzKqZb5m3NT), ScriptHashAddress(34ctPJGsA1fctjkyvgDDxYr58MGvdzZ7Kw), ScriptHashAddress(39tAWin6yxG3jyUQyYbpVjpBhVEbPJPTGc), ScriptHashAddress(3976tZdk1QX3QGnDFCfYayif3j5Gi96gwg), ScriptHashAddress(36k3uLoB2iUQxDuG6LTbFvPPWkNr2Lk3K2), ScriptHashAddress(3B3GuRCjUMGCBQy8eRCStV7suUtf5pD5bu), ScriptHashAddress(3P3JVzLssyn6CtUntSG3RnDcS79jrgrVix)];167.90465
2018-05-21 05:24:36;0.00069065;JFG Livestreams;[PubkeyHashAddress(15F5aB1cSxE89DSX7Pi9LdsXDQSnuKHKMP)];5.798167326125
2018-05-21 21:15:54;0.0006;JFG Livestreams;[ScriptHashAddress(323iHnm743JdMt7XFWMsq9r4JSxU776Arr)];5.037139499999999
2018-05-22 01:20:10;0.0051124;JFG Livestreams;[ScriptHashAddress(3FfNsSY4h73XLpFZrUwsoEkKV5mCdNdwF1)];40.814934867
2018-05-25 02:04:11;7.81e-06;JFG Livestreams;[PubkeyHashAddress(1KxaE6KebW5kMvijSrEGSo5Zv38gaxy7Ps)];0.058268018578
2018-06-03 23:32:34;0.00064848;JFG Livestreams;[ScriptHashAddress(3M9h8ZJMhw3ojaX22bgE6DjG8coYP1HVvZ)];5.0006659752
2017-12-11 04:54:33;0.0003;The Rubin Report;[PubkeyHashAddress(1ARunpXnxu3EuqBGkiXLwrC2aLQuEWMKHS)];5.00990325
2016-07-06 19:26:53;0.02400617;Morrakiu;[PubkeyHashAddress(1QJ6qzKgKGGAENnTdgHsPC3G76PsNCxrCz), PubkeyHashAddress(17J868gnDTHyFLF5Ge88TWN8x4Je9Ejmqg), PubkeyHashAddress(17J868gnDTHyFLF5Ge88TWN8x4Je9Ejmqg), PubkeyHashAddress(17J868gnDTHyFLF5Ge88TWN8x4Je9Ejmqg)];16.23088361721
2016-07-18 13:28:20;0.01;Morrakiu;[PubkeyHashAddress(12S4D9Bb1d9uX39V8guJ6yA9SHTP2dyqDS)];6.73594
2016-08-18 01:08:31;0.01;Morrakiu;[PubkeyHashAddress(1433wJej3uAeBtdgQcdtuAf2PpwZC4Qw4x)];5.7250250000000005
2016-08-18 21:13:46;0.001433;Morrakiu;[PubkeyHashAddress(1433wJej3uAeBtdgQcdtuAf2PpwZC4Qw4x)];0.8203960825000001
2016-09-01 08:30:08;0.0036;Morrakiu;[PubkeyHashAddress(1KhdS2fJxt6rc55PmfLFgwZfkWPnPEhFnH)];2.05809768
2016-09-14 14:17:42;0.0033;Morrakiu;[PubkeyHashAddress(1KhdS2fJxt6rc55PmfLFgwZfkWPnPEhFnH)];2.007126
2016-11-11 20:19:42;0.0207987;Morrakiu;[PubkeyHashAddress(1PJs8k1F9DSqRALCrjGE8gdkWMJ8VFp2VE)];14.90343951681
2016-11-13 03:35:40;0.15;Morrakiu;[PubkeyHashAddress(1KrBgdJu2jtKPt7xAcNZBvgrxoBYTB5EMw)];105.37557
2016-11-24 14:02:05;0.01488;Morrakiu;[PubkeyHashAddress(1L7DVmaoYiwN4b5bAMWKGKcQ2By9HwRRon)];10.957614144
2016-11-30 02:34:44;0.040906;Morrakiu;[PubkeyHashAddress(1C9E38j1h6Qa3nYNUPrbWY6ypZ4pCGCiWa)];30.352558795
2017-01-02 10:37:04;0.00296659;Morrakiu;[PubkeyHashAddress(1sSoq5zwdQfZYMr8Pfrn4NGkC1baz7idC)];3.0201369495
2017-01-17 03:56:23;0.02397018;Morrakiu;[PubkeyHashAddress(13EfumUjbPkneShYLgrnb1sRp98dVxKsBh)];21.679920387684
2017-02-08 11:36:06;0.05;Morrakiu;[PubkeyHashAddress(17UziavisEYQvAWPWz1BbVBu9ppQ9EBabx)];52.71719000000001
2017-02-17 05:54:57;0.00901215;Morrakiu;[PubkeyHashAddress(159WPiZdtpCUxVZ7f2C8duvYPuSf42PEQp), PubkeyHashAddress(1EWsaJdpHmbNjRW4vDvPE5ZFMkuV8qUzfE)];9.490897938375
2017-04-05 22:02:39;0.023;Morrakiu;[PubkeyHashAddress(1DJ1u1iSK32wALuV61YhFjo8s5K9CFfiLM)];26.104954
2017-05-24 05:03:38;0.00296938;Morrakiu;[PubkeyHashAddress(1CnftuZnXCdiRYdPgEma1g35epBmxGJLRt), PubkeyHashAddress(19WcoG594aQSBPXS1NWeJYwrFoYLVe3aVU), PubkeyHashAddress(1GEHgB9zgRxgLv8hMwzgkoKkUsLDTKM41E)];7.353064707294
2017-06-04 14:51:47;0.02;Morrakiu;[PubkeyHashAddress(123G6WhD3YBMps1aaAaoPLejq3D4fHWAYz)];51.056175999999994
2017-07-08 11:05:51;0.01;Morrakiu;[PubkeyHashAddress(1MfQT5QT2vNfkngiLTFHDeiLa61rGJKKS4)];25.799338
2017-08-08 01:12:40;0.007804;Morrakiu;[PubkeyHashAddress(1MHGWTrTZwMji6EUbHkXWSqhPKdC1ECEzv)];26.948480149999998
2017-08-15 19:43:32;0.00366316;Morrakiu;[PubkeyHashAddress(12Fy1Lapbjki5BqgggYZc8fW2dhGCdPGfi)];15.401499798800002
2017-09-14 19:52:26;0.00430851;Morrakiu;[PubkeyHashAddress(1B4ChDhufseeDg9ncT2WMBSuvHEqee8YMQ)];13.901030520374999
2017-10-01 12:33:48;0.01120784;Morrakiu;[PubkeyHashAddress(16nkfdG1qKsZroS6QR6BAcMyP4BJCg7yEP)];49.254408528191995
2018-03-28 03:42:56;0.00381575;Morrakiu;[PubkeyHashAddress(1HoL57f4pC8quy1wMjWx3X6q4qWnKCNGDb)];30.28638997875
2018-05-06 22:50:51;0.01042251;Morrakiu;[PubkeyHashAddress(1AEtdwKSP6yyietpkvVUMSihEHz7SPgyKT)];100.25562244693799
2017-02-01 22:40:01;0.00776469;StateofNation;[PubkeyHashAddress(1P2BPYWrBdapsA45sJ82yqi1PekcnUjN5L), PubkeyHashAddress(1Hn2zhpmuP3g8vqY5zTevAJ4ppWtG3ZSZ4)];7.666437942147001
2017-12-23 11:51:24;0.001;DetlefF. Artist;[PubkeyHashAddress(14BC35k6KmN78xrSVBbDeu7LGXG4S7abxr)];14.54871
2017-12-24 21:49:45;0.002;DetlefF. Artist;[PubkeyHashAddress(1EPnaN61afzcXaHipds94mSkZj8o635VRv)];27.9508726
2018-01-21 04:50:45;0.001;Count Dankula;[PubkeyHashAddress(1PST14c3z3pFvbZ8q6AgZwaYYQeiRbbmay)];11.5228588
2018-02-13 18:31:33;0.16666292;Count Dankula;[PubkeyHashAddress(19M6pK56KGPQqRhEnnCiMFbQxUPzhHe2JD)];1419.342059139896
2018-03-10 23:40:19;0.01331185;Count Dankula;[PubkeyHashAddress(12xJ7mydfsXF6Zc6j4Y2KVjfqqc1uuNyqc), PubkeyHashAddress(12xJ7mydfsXF6Zc6j4Y2KVjfqqc1uuNyqc), PubkeyHashAddress(12xJ7mydfsXF6Zc6j4Y2KVjfqqc1uuNyqc)];116.97340643103
2018-04-01 20:40:47;0.00028571;Count Dankula;[WitnessPubkeyAddress(bc1qpqu5luffxn5vrm8pmjj2zh3f99ruleatvvapcf)];1.9476107854
2018-04-02 20:53:06;0.0056;Count Dankula;[PubkeyHashAddress(1DrhYj27tMEtpgh3tmNAPehWSAhWXnpvDs)];39.47884528
2018-04-04 04:31:40;0.0017313;Count Dankula;[PubkeyHashAddress(115carBrn1zLiSEJBb61vLk5APHBGMypLH)];11.754317340690001
2018-04-22 20:39:15;0.01;Count Dankula;[PubkeyHashAddress(15yuMzuueV8y5vPQQ39ZqQVz5Ey98DNrjE)];87.92830000000001
2018-04-24 22:44:59;0.0007;Count Dankula;[PubkeyHashAddress(1Nvv7it63CyedbqR3ZtGVxFPW8bRkinwnL)];6.7565094100000005
2018-04-25 00:12:52;0.00493436;Count Dankula;[WitnessPubkeyAddress(bc1qch680rvs3hwwchfehykvv7sjgllqrm0gj3rjsx)];43.73859879649999
2018-04-25 01:11:07;0.00030234;Count Dankula;[PubkeyHashAddress(1C1o5uP8Dq3sYPqkZciHQKaAbrToLW2NZ3)];2.67996821475
